Node: ethnicity, rank, group, sum, None, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: ethnicity, rank, group, cnt, None, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: ethnicity, birth_year, group, cnt, orderY, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: ethnicity, gender, group, cnt, orderY, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: ethnicity, name, group, cnt, orderY, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: ethnicity, number, group, sum, orderY, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: ethnicity, number, group, cnt, orderY, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: ethnicity, rank, group, sum, orderY, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: ethnicity, rank, group, cnt, orderY, pie, 0.8450980400142568 Score: 2036834.606327312 Less Than: 111
Node: number, rank, None, None, None, scatter, 0.37128896634037295 Score: 290973.8679130836 Less Than: 105
Node: rank, number, None, None, None, scatter, 0.37128896634037295 Score: 290973.8679130836 Less Than: 105
Node: number, rank, None, None, orderX, scatter, 0.37128896634037295 Score: 290973.8679130836 Less Than: 105
Node: number, rank, None, None, orderY, scatter, 0.37128896634037295 Score: 290973.8679130836 Less Than: 105
Node: rank, number, None, None, orderX, scatter, 0.37128896634037295 Score: 290973.8679130836 Less Than: 105
Node: rank, number, None, None, orderY, scatter, 0.37128896634037295 Score: 290973.8679130836 Less Than: 105
Node: gender, birth_year, group, cnt, None, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, ethnicity, group, cnt, None, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, name, group, cnt, None, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, number, group, sum, None, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, number, group, cnt, None, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, rank, group, sum, None, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, rank, group, cnt, None, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, birth_year, group, cnt, orderY, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, ethnicity, group, cnt, orderY, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, name, group, cnt, orderY, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, number, group, sum, orderY, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, number, group, cnt, orderY, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, rank, group, sum, orderY, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: gender, rank, group, cnt, orderY, pie, 0.3010299956639812 Score: 19398.09392327399 Less Than: 91
Node: rank, number, None, None, None, bar, 0.19607843137254902 Score: 4848.727598122622 Less Than: 88
Node: rank, number, None, None, orderX, bar, 0.19607843137254902 Score: 4848.727598122622 Less Than: 88
Node: rank, number, None, None, orderY, bar, 0.19607843137254902 Score: 4848.727598122622 Less Than: 88
Node: number, rank, None, None, None, bar, 0.07751937984496124 Score: 1211.3124664861214 Less Than: 85
Node: number, rank, None, None, orderX, bar, 0.07751937984496124 Score: 1211.3124664861214 Less Than: 85
Node: number, rank, None, None, orderY, bar, 0.07751937984496124 Score: 1211.3124664861214 Less Than: 85
Node: name, rank, group, sum, None, pie, 0.009706116532943041 Score: 403.1303635640936 Less Than: 83
Node: name, rank, group, sum, orderY, pie, 0.009706116532943041 Score: 403.1303635640936 Less Than: 83
Node: name, number, group, sum, None, pie, 0.00858544955687034 Score: 134.36645281480745 Less Than: 81
Node: name, number, group, sum, orderY, pie, 0.00858544955687034 Score: 134.36645281480745 Less Than: 81
Node: name, number, None, None, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, rank, None, None, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, birth_year, group, cnt, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, gender, group, cnt, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, ethnicity, group, cnt, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, number, group, avg, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, number, group, sum, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, number, group, cnt, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, rank, group, avg, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
Node: name, rank, group, sum, None, bar, 0.007114905727499111 Score: 5.840293397018014 Less Than: 59
