Price,Place,Beds,Bath,Sq.Ft
950000,Midnapore,4,2.5,2410
749900,Chaparral,4,3.5,1794
1100000,Valley Ridge,4,3.5,2454
1420000,Bankview,4,4.5,3306
849900,Bridgeland/Riverside,3,2,720
599900,Temple,5,2.5,1083
335000,Lincoln Park,2,2,904
548000,Fairview,5,2,980
997800,Cranston,3,2.5,2540
684900,Greenwood/Greenbriar,4,3.5,1811
569900,Auburn Bay,3,2.5,1512
700000,Coventry Hills,3,2.5,2323
575000,Sunalta,3,3,1474
580000,Temple,5,3,1841
438000,Applewood Park,4,1.5,1122
539900,Highland Park,4,2,836
325000,Dover,3,2,905
388888,Dover,3,1,924
358900,Bridgeland/Riverside,2,1.5,1039
625000,Renfrew,3,2,942
849000,Bankview,3,2,1170
299900,Glenbrook,2,1,930
699900,Copperfield,3,2.5,2172
664000,Dalhousie,4,2.5,1211
899000,Sherwood,4,3.5,2370
679900,Auburn Bay,3,3.5,1738
739000,Capitol Hill,4,3.5,1716
528000,Belmont,3,2.5,1448
649000,Dalhousie,5,2,1081
1200000,Woodbine,5,3.5,2772
360000,Hawkwood,2,1.5,985
855000,Bowness,5,3.5,1829
249900,Glenbrook,3,1,860
765000,Seton,3,2.5,2297
209900,Beltline,1,1,566
1383000,Cranston,5,4.5,3093
825000,Chinatown,2,2,1080
524900,Beddington Heights,5,2.5,1138
664900,North Haven,4,1.5,1228
550000,Midnapore,4,2,1045
779500,Westgate,5,2,1050
875000,Douglasdale/Glen,6,4.5,2936
299000,Southwood Village,3,1.5,1140
580000,Temple,4,2.5,1260
499900,The Block,2,2.5,1088
999000,Homestead,5,4,2675
989000,Evergreen,6,3.5,2649
749900,Sundance,4,3,1355
659900,Cornerstone,4,3.5,1609
899900,Chateau On The Green,3,3.5,2060
1495000,Bankview,4,4.5,1924
774900,Dalhousie,4,1.5,1685
608990,Shawnee Slopes,2,2.5,1352
404900,Erlton,2,2,1080
525000,Prominence Heights,3,2.5,1764
664900,South CA,3,3.5,1334
799900,Cedarbrae,4,3,1119
495000,Downtown East Village,2,2,867
549000,Montgomery,3,3.5,1446
370000,Millrise,2,2.5,1166
279900,Taradale,2,2,765
239900,Skyview Ranch,1,1,590
849900,Mckenzie Lake,5,3.5,2625
413900,Panamount Place,3,1.5,1041
620000,Beddington Heights,3,3,1090
239990,Lake Bonavista,1,1,588
675000,Douglasdale/Glen,4,3.5,1938
569000,New Brighton,3,2.5,1587
639888,Saddle Ridge,4,3.5,1503
795000,Currie Barracks,2,2.5,1581
675000,Charleswood,3,2,1042
258800,Beltline,1,1,665
519900,Beltline,2,2,934
595000,Woodlands,3,2.5,1772
950000,Valley Ridge,4,3.5,2087
215000,Windsor Park,2,1,862
1195000,Cranston,5,3.5,2736
594900,Copperfield,3,2.5,1544
349900,Haysboro,2,2,976
1169900,Richmond,4,3.5,1883
329900,Mckenzie Towne,2,2,965
449900,Renfrew,3,3.5,1100
539900,Coventry Hills,3,2,1009
799999,Cranston,4,3.5,2250
480000,Macewan Glen,4,1.5,850
399900,Capitol Hill,1,1,481
468000,Mckenzie Towne,3,3.5,1271
544900,Legacy,3,2.5,1396
519900,Pine Creek,3,2.5,1267
599999,Marlborough,5,2.5,1161
732800,West Springs,3,2.5,1206
369000,Auburn Bay,2,2,864
674900,Hawkwood,4,3.5,1779
269900,Renfrew,2,1,758
489999,Sonoma At Sage Hill,3,2.5,1214
499900,Bankview,1,2,1050
247700,Taradale,2,2,881
348000,Spruce Cliff,2,1.5,849
549900,Saddle Ridge,3,3.5,1353
299900,Penbrooke Meadows,3,1.5,443
830000,Windsor Park,5,3.5,1767
1095000,Canyon Meadows,4,3.5,1611
1149900,West Hillhurst,4,3.5,1815
459900,Cranston Ridge,3,2.5,1269
199900,Braeside,2,1,832
329900,Renfrew,1,1,589
300000,Canyon Creek Heights,2,1,1018
290000,Skyview Ranch,2,2,837
374900,Ogden,3,1,923
1200000,Rocky Ridge,5,3.5,2816
535000,Legacy,3,2.5,1348
599900,Evanston,3,2.5,1236
999900,West Hillhurst,4,3.5,2174
349900,Abbeydale,3,1.5,1286
609999,Copperfield,4,3.5,1578
199900,Copperfield,1,1,585
329900,Canyon Meadows,3,1.5,1149
649900,Hawkwood,4,2.5,1848
2590000,Cranston,4,3.5,3325
245000,South CA,2,1,742
425000,New Brighton,3,2.5,1214
584900,Cornerstone,3,2.5,1465
650000,Banff Trail,3,2.5,1289
625000,Harvest Hills,3,3.5,1706
799900,Tuscany,5,3.5,2429
239900,Cranston,1,1,583
599888,Shaganappi Estates,3,2.5,1581
574900,Crescent Heights,3,2.5,1533
1775000,Lake Bonavista,5,3.5,2954
789000,Highland Park,4,3.5,1615
594900,Dalhousie,4,2.5,1457
359900,Arbour Lake Landing,4,2.5,1146
647500,Cornerstone,4,3.5,1562
279900,Lower Mount Royal,1,1,578
179000,Sunalta,1,1,495
649888,Silverado,5,3.5,2011
725000,Mount Pleasant,4,4,1815
845000,Evanston,3,3.5,2147
332750,Beltline,2,2,876
564900,Skyview Ranch,4,3.5,1470
445000,Parkhill,3,1.5,794
550000,Woodbine,4,3.5,1671
364000,Sage Hill,2,2,845
795000,Evergreen,3,2.5,2268
428800,Skyview Ranch,3,2.5,1394
1129999,Auburn Bay,4,3.5,2871
315000,Beltline,1,1,586
329000,Skyview Ranch,2,2,887
2599900,Winston Heights/Mountview,4,3.5,4469
499999,Evergreen,3,2.5,1340
1100000,Hamptons,4,3.5,2545
474900,Cranston,2,2.5,1288
549900,Panorama Hills,3,2.5,1239
235000,Pineridge,2,1.5,535
1300000,Cambrian Heights,7,4,1741
419900,Sandstone Valley,3,1.5,1066
449900,Shawnessy,4,2,1008
450000,Lake Bonavista,2,2,1019
524800,Cranston,4,1.5,1117
728800,Brentwood,3,3,1588
265000,Lower Mount Royal,1,1,853
329000,Downtown East Village,2,2,825
2350000,Springbank Hill,4,4.5,3551
470000,Dover,5,2,998
799900,Hawkwood,5,3.5,2144
579900,Marlborough Park,5,2,1014
304900,Pensacola Gardens,4,2.5,1096
599000,Rundle,5,2.5,1086
224900,Sierra Gardens,2,1,997
779000,Hounsfield Heights/Briar Hill,3,2,1656
449900,Martindale,4,3.5,1060
255000,Dalhousie,2,1,762
449000,Silver Springs,3,1.5,1110
459900,Altadore,4,2,647
290000,Beltline,2,1,801
675000,Renfrew,4,2,1094
235900,Evergreen,1,1,433
1095000,Winston Heights/Mountview,4,3.5,2266
749000,Panorama Hills,4,3.5,2158
450000,Erin Woods,3,1.5,1113
729900,Evergreen,6,3.5,2073
429900,Wildstone,2,2.5,1113
949900,Kincora,6,3.5,2623
279900,South CA,1,1,708
1360000,Edgemont,5,3.5,3001
345000,Sherwood,3,2,891
439999,Whitehorn,6,2,946
679900,Citadel,3,2.5,1922
475000,Temple,5,2,1087
780000,Saddle Ridge,5,4,2124
468000,Downtown East Village,2,2,922
669800,Somerset,4,3.5,2023
749000,Rocky Ridge,3,3,1416
1198900,Parkland,5,3.5,1600
649000,Douglasdale/Glen,4,3.5,2078
550000,Fairview,3,1,1151
689000,Citadel,5,3,1256
599000,Tuscany,4,3.5,1443
245000,Canyon Meadows,2,1,760
895000,Montgomery,4,3.5,1823
550000,Deer Run,4,3,1252
790000,Sundance,4,3,1323
1700000,Hillhurst,4,3.5,2575
498000,Capitol Hill,4,2,939
299900,Downtown East Village,1,1.5,550
939900,Glacier Ridge,5,4,2865
274800,Midnapore,2,2,696
600000,New Brighton,4,2.5,1651
1000000,Cranston,3,2.5,2178
179000,Erin Woods,1,1,579
250000,Panorama Hills,1,1,701
759900,Saddle Ridge,3,2.5,2078
374900,Quinterra,2,2,1208
540000,Point Mckay Phase I,2,1.5,1254
570000,Mckenzie Towne,4,3,1076
699000,Coach Hill,5,2.5,2128
485000,Altadore,2,2,905
949888,Cougar Ridge,5,3.5,2282
489500,Sage Hill,3,2.5,1142
499900,Valley Ridge,2,2,1473
829900,Copperfield,4,3.5,2210
749900,Winston Heights/Mountview,4,3.5,1529
585000,Beltline,2,2.5,1089
615000,New Brighton,4,3.5,1638
690000,Glacier Ridge,3,2.5,1600
260000,Falconridge,2,1,749
449900,Signal Hill,2,2,1087
575000,Chaparral,3,2.5,1642
582000,Legacy,3,2.5,1602
259900,Signal Hill,2,2,829
1199900,Altadore,4,3.5,1849
370000,Castleridge,3,1.5,1204
499888,Springbank Hill,2,2.5,1262
509900,Evergreen,3,3,1085
645000,Mckenzie Towne,3,2.5,1983
649900,Richmond,4,3.5,1322
899900,Altadore,4,3.5,1855
700000,Cougar Ridge,3,3.5,1532
175000,Windsor Park,1,1,658
989000,Saddle Ridge,4,4,2925
529900,Penbrooke Meadows,4,1.5,1162
879000,Legacy,3,2.5,2023
779000,Mahogany,4,3.5,2299
899000,Richmond,2,2.5,1517
815000,Seton,4,2.5,2326
799900,Strathcona Park,5,3.5,1578
724900,Pine Creek,3,2.5,2284
700000,Cedarbrae,4,2,1062
749500,Kincora,4,2.5,2141
469000,Forest Lawn,4,2,960
300000,Crescent Heights,2,2,939
799000,Legacy,4,3,2327
515000,Tuxedo Park,4,3.5,1057
650000,Evergreen,3,2.5,1782
500000,Killarney/Glengarry,2,2.5,1381
420000,Erlton,2,2,1075
822000,Homestead,3,2.5,2067
529500,Auburn Bay,2,2.5,1273
175000,Greenview,2,1,852
274900,Kincora,2,1,698
624999,Evanston,3,2.5,1942
279900,Haysboro,1,1,818
438800,Mckenzie Towne,2,2.5,1111
999888,Kingsland,4,3.5,1448
825000,West Hillhurst,3,3.5,1568
468900,Winston Heights/Mountview,2,1,811
418000,Altadore,3,2,646
430000,College Gate,2,2.5,1300
449000,Huntington Hills,4,2,990
1200000,University Heights,5,2.5,3240
388900,Martindale,3,1.5,1161
770000,Lakeview,5,4,1325
749000,Belmont,3,2.5,2308
219900,Lower Mount Royal,1,1,487
449500,Ogden,3,2,977
649000,Douglasdale/Glen,4,2.5,1254
799000,Capitol Hill,4,3.5,2154
389500,Spruce Cliff,1,1,910
199900,Windsor Park,1,1,675
620000,Mckenzie Towne,4,3.5,1936
618000,Livingston,3,2.5,1390
619900,Mahogany,3,2.5,1616
895000,Discovery Ridge,3,2.5,1423
725000,West Springs,4,3.5,1841
999999,Rutland Park,4,3.5,1516
575000,Queensland,4,2.5,1286
274500,Mayland Heights,2,2,1020
525000,Rangeview,3,2.5,1413
249900,Edgemont,2,2,866
599900,Cornerstone,5,4,1555
700000,Rocky Ridge,3,3.5,1807
574800,The Delano,3,2.5,1708
475000,Falconridge,4,2,836
599999,Citadel,3,3,1444
275000,Seton,1,1,458
688800,Edgemont,4,2.5,1263
724900,Copperfield,4,3.5,2348
2350000,Elbow Park,6,3.5,2654
2100000,Mount Pleasant,6,4.5,3190
274900,Forest Heights,2,1,904
249900,Country Hills Village,1,1,651
415000,Beltline,2,2,820
679000,Millrise,4,3.5,2067
519900,Temple,3,1.5,1020
460000,Nolan Park,2,2.5,1233
339900,Downtown East Village,1,1,577
455400,Sage Hill,2,2,913
599000,Cornerstone,4,3.5,1190
825000,Lake Bonavista,3,3,1479
475000,Spruce Cliff,2,2,1042
724900,Panorama Hills,4,2.5,2252
739900,Rutland Park,5,2,1004
479900,Shawnessy,3,1.5,1078
169900,Sunalta,1,1,452
339900,Sunnyside,2,1.5,814
689000,Kingsland,3,3,1043
799900,Kingsland,4,3,1083
329000,Skyview Ranch,2,2,907
600000,Bonavista Downs,4,2.5,1245
829900,Sherwood,4,2.5,2580
485000,Hidden Valley,3,2.5,1254
669900,Applewood Park,4,3.5,1932
975000,Evergreen,4,3.5,2608
1279000,West Hillhurst,4,3.5,2127
449900,Forest Lawn,3,2,988
775000,Dalhousie,4,3.5,1838
314900,Mahogany,2,1,618
779900,Woodbine,4,2.5,2330
709000,Renfrew,5,2,1187
774900,Evergreen,3,2.5,2294
849000,Bankview,3,2,856
314900,Beltline,1,1,645
489000,Taradale,5,2,939
699000,Renfrew,4,2,1126
1089888,Collingwood,5,3,1531
430000,Falconridge,3,1.5,1216
999000,Cornerstone,5,4,2676
545000,Auburn Bay,3,2.5,1316
799000,Seton,3,2.5,2186
349900,Taradale,3,1.5,1042
989000,Glacier Ridge,5,4,2866
329900,Pineridge Square,3,1.5,989
279900,Dover,2,1,786
547900,Ranchlands,3,2.5,1528
249900,Downtown West End,1,1,472
284000,Mckenzie Towne,2,2,840
424900,Garrison Woods,2,1.5,1021
199000,Southwood,2,1.5,816
199500,Windsor Park,2,1,821
300000,Mckenzie Towne,2,2,928
579000,Sundance,4,2.5,1107
999900,Thorncliffe,3,3,1150
569900,Sandstone Valley,3,2.5,1578
1149900,Winston Heights/Mountview,2,2.5,1920
359900,Legacy,3,2,948
629000,Queensland,5,3,1339
1795000,Pump Hill,4,3.5,3517
265000,Edgemont,2,2,877
349900,Eau Claire,1,1,665
399900,Coventry Hills,3,1.5,1188
799900,Edgemont,3,2.5,1665
550000,Bowness,2,2,821
639900,Chaparral,3,2.5,1877
379900,Spruce Cliff,1,1,925
479900,Whitehorn,3,1.5,1201
589000,Shawnessy,3,2.5,1664
819900,Hillhurst,2,2,1086
2400000,,6,2,2147
265000,Seton,1,1,578
489000,Saddle Ridge,4,2.5,1500
275000,Spruce Cliff,1,1,669
224900,Panorama Hills,1,1,570
799900,Downtown East Village,2,2,1660
659900,Livingston,3,2.5,1712
699000,Rocky Ridge,4,3,1538
710000,Beltline,2,2.5,2122
874900,Bridgeland/Riverside,3,2,927
205000,Lincoln Park,1,1,450
999990,Renfrew,4,3.5,2552
210000,Mission,1,1,400
474977,Cranston,3,2.5,1102
269900,Mission,1,1,664
460000,Rideau Park,2,1.5,1023
2099900,Hillhurst,4,4.5,2923
549900,Highwood,3,2.5,1900
549900,Bridlewood,3,2,1078
215000,Haysboro,1,1,701
455000,,2,1.5,1193
1179000,Richmond,4,3.5,1907
494900,Discovery Ridge,2,2,1031
950000,Woodlands,6,3.5,2709
889900,Cranston,4,3.5,2261
455900,Trinity,2,2.5,1202
439900,Seton,2,2,1089
450000,The Mosaic,3,1.5,1073
869900,Seton,4,3,2631
769000,Seton,3,2.5,2094
659900,Glacier Ridge,3,2.5,1235
689800,Edgemont,3,2.5,1869
295000,Beltline,1,1,680
899000,Saddle Ridge,6,4,2758
400000,Dover,4,2,960
699900,Douglasdale/Glen,2,2,1330
579900,Chaparral,3,2.5,1691
290000,Mckenzie Towne,2,2,852
229900,Hillhurst,1,1,640
278800,Saddle Ridge,2,1,698
749900,Seton,3,2.5,2088
499900,Riverbend,3,2.5,1319
1250000,Canyon Meadows,5,3.5,3218
549900,Mckenzie Lake,5,2,1035
349999,Coventry Station,2,2,729
425000,Sunnyside,1,1,959
340000,Renfrew,2,1,790
899900,Mahogany,5,3.5,2719
774900,Cityscape,4,3.5,2182
260000,Varsity,2,1.5,1083
239900,Skyview Ranch,1,1,589
930000,Cranston,3,2.5,2188
319000,Cranston,2,2,850
240000,Garrison Green,1,1,501
399900,Beltline,2,2,1302
369999,Millrise,2,1.5,1025
315000,Beltline,2,1.5,852
235000,Somerset,2,1,758
799900,Parkhill,3,2.5,1751
478900,Saddle Ridge,4,2.5,1502
249999,Canyon Meadows,2,1,829
799500,Mahogany,5,3.5,2397
899900,Richmond,4,3.5,1741
755000,Belmont,4,3,2301
859990,Yorkville,4,2.5,2355
969900,Cranston,4,2.5,2641
358900,Currie Barracks,1,1,717
1150000,Tuscany,4,3.5,3143
374900,Sandstone Valley,2,1,803
849000,Macewan Glen,4,2.5,1824
400000,Copperfield Chalet,2,2.5,1351
192000,Chinook Park,2,1,852
835000,Woodbine,4,3.5,2125
1695000,Upper Mount Royal,3,2,1802
349000,Beltline,2,1,847
244900,Glamorgan,2,1.5,1073
324900,Sherwood,2,2,832
209900,Windsor Park,2,1,808
749000,Charleswood,6,2.5,1169
400000,Crescent Heights,2,2,1855
315000,Sagestone,2,1,799
1590000,Scarboro/Sunalta West,4,2.5,2003
819000,Cornerstone,4,3,2154
949900,St Andrews Heights,5,2,1156
503895,Goodwin By Anthem,3,2.5,1133
919000,Saddle Ridge,6,4.5,2275
339900,Bridlewood,2,2,1178
279900,Saddle Ridge,2,1,673
425000,Coach Bluff Villas,3,2.5,1386
1100000,Coral Springs,7,5,2750
499000,Beltline,2,2,905
672000,,5,3.5,1749
889000,Hamptons,5,3.5,2222
419900,Lookout At Christie Park,2,3,2243
190000,Sierra Gardens,2,1,846
399900,Somerset Village,3,1.5,1063
310000,Legacy,2,2,935
299000,Brentwood,1,1,419
355555,Sage Hill,2,2,846
329000,Somerset,2,2,1001
574900,Marlborough Park,4,2.5,1133
629900,Richmond,4,3,1453
1099900,Tuxedo Park,5,3.5,2268
499000,Saddle Ridge,3,2.5,1415
585000,Somerset,3,2.5,1518
735000,Taradale,6,3.5,2241
469900,Ogden,3,1,1120
665000,Altadore,3,2.5,1869
339900,Renfrew,1,1,591
619900,Saddle Ridge,3,2.5,1520
1275000,Altadore,4,4.5,2136
449900,Beltline,2,2,1204
569000,Cornerstone,3,2.5,1440
1199000,Killarney/Glengarry,5,3.5,1864
369900,Bridgeland/Riverside,1,1,570
259900,Taradale,2,1,671
944000,Coral Springs,6,3.5,2841
439900,Copperfield,3,2.5,1380
479900,Marlborough,5,2.5,1043
350000,Bankview,4,1.5,984
369000,Downtown East Village,2,2,700
780000,Cornerstone,5,3,2370
409900,The View At The Edge,3,2.5,1394
479900,Temple,5,3,946
3200000,Elboya,5,4.5,3686
299900,Kingsland,1,1,888
389900,Marlborough,3,1,955
729900,Alpine Park,3,2.5,1812
668000,Walden,3,2.5,1840
1699900,Mount Pleasant,5,3.5,2726
819900,Rangeview,4,3.5,2126
929900,Saddle Ridge,5,5,2691
429800,Dover,3,2,837
1650000,Mayfair,3,3,2269
699900,Spruce Cliff,4,2,1343
525000,Sage Hill,3,3.5,1437
259900,Beltline,1,1,675
449000,Beltline,2,2,1218
680000,Renfrew,3,2,1277
479000,Forest Lawn,5,2,1130
2189000,Parkdale,5,4.5,3148
790000,Homestead,5,4,2339
622900,Legacy,3,2.5,1617
1400000,West Hillhurst,4,3.5,2175
379900,Auburn Bay,2,2,836
699000,Downtown Commercial Core,1,1.5,1051
159900,Greenview,1,1,766
359900,Sage Hill,2,2,902
1075000,Highwood,5,4.5,1846
519000,Whitehorn,5,3.5,1499
759900,Huntington Hills,3,2,1980
319900,Legacy,2,2,761
995000,Mission,2,2,1655
250000,Mckenzie Towne,2,1,863
799900,Sundance,5,3,1576
300000,Downtown East Village,1,1.5,587
770000,Panorama Hills,5,3,1543
719900,Tuscany,3,2.5,1808
1699000,Bowness,5,4.5,2796
699999,Royal Oak,5,3,1286
234500,Hillhurst,1,1,518
269900,Spruce Cliff,1,1,607
199900,Mission,1,1,488
2800000,Mahogany,5,4.5,4352
849900,Hamptons,3,2.5,2394
589900,Yorkville,3,2.5,1639
800000,Bowness,4,3.5,1823
625000,Downtown East Village,2,2,1058
999900,Cranston,4,3.5,2513
2500000,Aspen Woods,1,1,950
850000,,4,3,2315
889000,Hidden Valley,4,3.5,2477
855000,Springbank Hill,6,3.5,2136
599999,Evanston,3,3.5,1403
154900,Kingsland,1,1,651
179900,Kingsland,1,1,889
949000,Silver Springs,3,2.5,1266
350000,Altadore,1,1.5,917
265000,South CA,1,1,675
299900,Seton,1,1,541
984900,Redstone,6,5.5,2844
289900,Foothills Village,2,1,998
369000,Abbeydale,3,1.5,1053
725000,Evergreen,3,2.5,2149
889000,West Springs,5,3.5,2190
258000,Bridgeland/Riverside,1,1,482
1495000,South CA,4,4.5,2289
329900,North Park,3,1.5,1030
449000,Penbrooke Meadows,3,1,987
288999,Taradale,2,2,1002
271000,Albert Park/Radisson Heights,2,2,764
1695000,Currie Barracks,5,3.5,3331
559888,Cornerstone,3,2.5,1364
349900,Beltline,1,1,778
274900,Panorama Hills,2,2,802
779000,West Hillhurst,3,2,888
730000,Rosscarrock,5,2,863
750000,Glamorgan,4,3,985
544900,Sandstone Valley,4,2,1067
779900,Mckenzie Towne,4,3.5,2141
749000,Douglasdale/Glen,4,3.5,2713
2890000,Parkhill,5,3.5,2867
249900,Tuxedo Park,1,1.5,684
499999,Mckenzie Towne,2,2.5,1419
849900,Bankview,5,3,1551
949000,Eau Claire,2,2,1299
229000,Rundle,2,1,476
925000,Aspen Woods,3,3.5,2995
850000,Mission,3,2,1459
400000,Inglewood,2,2,762
1100000,Cranston,3,3,2272
1399900,Cranston,5,4.5,3082
548999,Macewan Glen,5,3,1124
1285000,Rocky Ridge,5,4.5,3090
550000,Hillhurst,1,1,553
315000,Sage Hill,2,2,801
624900,New Brighton,4,2.5,1828
835000,Mahogany,4,3.5,2427
4850000,Britannia,4,6.5,5008
530000,Beddington Heights,4,1.5,923
678000,Dalhousie,4,2.5,1208
1199000,Cranston,6,3.5,2754
819900,Rocky Ridge,5,3.5,2308
405900,Mahogany,1,1,657
4495000,Rosedale,5,4.5,4867
1099900,Killarney/Glengarry,4,3.5,1952
888000,Hamptons,5,3.5,1928
234900,Lower Mount Royal,2,1,721
765000,Greenview,5,2.5,1882
759899,Acadia,3,3,1024
1695000,Hillhurst,4,3.5,2283
214900,Beltline,1,1,560
265000,Skyview Ranch,2,1,596
299900,Walden,2,1,611
639000,Evergreen,4,3.5,1651
650000,Winston Heights/Mountview,3,2,1159
329900,Lower Mount Royal,1,1,583
750000,Hawkwood,4,3,1894
949900,Bridgeland/Riverside,4,3.5,1705
520000,Cliff Bungalow,2,2,1202
329900,Chinatown,1,1,512
459900,Beltline,2,2,790
570098,Medicine Hill,3,2.5,1461
648795,Medicine Hill,3,2.5,1819
583800,Medicine Hill,3,2.5,1484
591045,Medicine Hill,3,2.5,1636
575000,Temple,5,2,1164
1550000,Inglewood,3,2.5,1657
649900,Citadel,3,2.5,1883
634900,Legacy,3,2.5,1568
699500,Evergreen,4,3.5,2060
599900,Legacy,3,2.5,1568
594900,Legacy,3,2.5,1481
799900,Lake Bonavista,3,3,1511
919000,Montgomery,4,3.5,1858
735000,Crestmont,2,2.5,1020
849900,Hamptons,4,3.5,2348
1399000,Lake Bonavista,4,4.5,2896
2950000,Downtown Commercial Core,2,2.5,3085
1249000,South CA,4,3.5,2434
669000,Beltline,2,2,1427
779900,Saddle Ridge,6,4.5,2076
263000,Edgemont,2,2,902
568888,Monterey Park,5,2,1009
799000,Scenic Acres,7,3.5,2601
279900,Lower Mount Royal,1,1,500
279000,Bridlewood,2,2,837
299900,Panorama Hills,2,2,958
1189000,Hamptons,4,3.5,2699
1099900,Winston Heights/Mountview,4,3.5,2015
279900,Varsity,2,1.5,1059
759900,Renfrew,4,3.5,1734
279900,Georgian Village,3,1.5,1065
1399000,Varsity,3,3.5,4078
898888,Saddle Ridge,7,6,2810
369999,Granite,3,1.5,951
479900,Harvest Hills,3,1.5,1134
619900,Skyview Ranch,3,2.5,1631
600000,Bridgeland/Riverside,3,2.5,2195
499900,Martindale,4,2.5,1307
279900,Seton,1,1,469
479900,Seton,3,2.5,1191
658888,Livingston,3,2.5,1705
795000,Patterson,2,3,1949
1075000,Highwood,5,4.5,1846
859000,Sherwood,4,3.5,2559
479900,Downtown West End,2,2,1211
339800,Country Hills Village,2,2,847
879000,Cougar Ridge,3,3.5,2106
335000,Crescent Heights,1,1,423
459000,Cranston,2,2,1090
524900,Altadore,2,2,1176
249900,Monterey Park,2,2,839
354000,Sage Hill,2,2,837
475000,Banff Trail,2,2,1213
575000,Skyview Ranch,3,2.5,1336
349900,Lower Mount Royal,1,1,614
1298000,Winston Heights/Mountview,4,3.5,2451
395000,Varsity,2,2.5,1571
850000,Rutland Park,4,3,1089
1178000,Hamptons,6,3.5,2770
795000,Strathcona Park,3,2.5,1761
774300,Edgemont,3,2.5,2374
549900,Huntington Hills,4,2.5,1045
749000,Richmond,3,3.5,1741
489000,Sage Hill,2,2,1101
719900,Deer Run,4,2.5,1287
1200000,Hillhurst,3,2.5,1694
755900,Charleswood,3,2,1352
749900,Livingston,3,2.5,1898
600000,Hidden Valley,3,2,1035
470000,Beltline,2,2,793
469900,North Haven,2,1,928
255000,Downtown East Village,1,1,484
475000,South CA,3,3.5,1071
318813,Parkdale,1,1,621
325000,Copperfield,2,2,906
225000,Skyview Ranch,1,1,603
599900,Sunnyside,2,2,1032
215000,Copperfield,1,1,556
450000,Bankview,2,2.5,1329
734900,Livingston,3,2.5,1964
274900,Marlborough Park,2,1,470
165000,Rosscarrock,1,1,595
414900,Lake Bonavista,2,2,1067
899900,Haskayne,3,2.5,2248
1100000,Christie Park,4,3.5,2771
1025000,Signal Hill,3,3,1924
359900,Mission,1,1.5,652
1350000,Parkdale,4,3.5,1996
820000,Redstone,5,4,2284
1150000,Winston Heights/Mountview,4,3.5,2477
194999,Bankview,1,1,434
259900,Lower Mount Royal,2,1,732
530000,Mosaic Of Aspen Hills,2,2.5,1111
875710,Cranston,3,2.5,2431
749900,Thorncliffe,3,2,1908
224900,Cliff Bungalow,1,1,479
3499000,Elboya,6,6.5,4595
539900,Cornerstone,3,2.5,1427
224900,Sunnyside,1,1,458
1249900,Altadore,4,4.5,2393
284900,Mission,1,1,603
245000,Taradale,2,2,877
1650000,Hamptons,5,3.5,3176
749000,Arbour Lake,4,3.5,1957
599900,Taradale,4,2.5,1309
418000,Woodbine,2,2.5,1230
597000,Eau Claire,2,2,1601
619900,Saddle Ridge,4,3,1514
675000,Kincora,3,2.5,2324
1449900,Bowness,5,4.5,3223
725000,Garrison Woods,4,3.5,1424
355000,Downtown Commercial Core,1,1,563
515000,Forest Heights,5,2,1044
633000,Legacy,3,2.5,1652
1395000,Springbank Hill,4,2.5,2806
699900,Hawkwood,4,3,1530
1849900,Springbank Hill,3,4,4167
2350000,Crescent Heights,3,3.5,3037
314900,Crescent Heights,2,2,1176
1495000,Rocky Ridge,4,2.5,2186
749900,Sundance,4,3.5,2091
329900,Silverado,2,2,862
1999000,Winston Heights/Mountview,6,4.5,4011
2299000,,6,4.5,2034
400000,Beltline,2,1,838
375000,Oakmoor Village,3,1.5,1147
299000,Pineridge,3,1.5,1008
297500,Downtown East Village,1,1,500
699900,Cedarbrae,4,3,1090
750000,Mckenzie Towne,4,3.5,1822
588000,Coventry Hills,4,2,1445
999900,Auburn Bay,4,4,2974
545000,Ogden,4,2,933
234900,Skyview Ranch,1,1,589
699900,Woodbine,7,3.5,2550
639900,Fairview,3,2,1149
1199300,Banff Trail,4,3.5,2208
2795000,Rosedale,4,3.5,2727
209900,Hillhurst,1,1,307
369900,Cranston,2,1,835
299000,Beltline,2,1,850
295000,Bridlewood,2,2,931
299900,Signal Hill,2,2,990
295900,Evergreen,1,2,644
750000,Glamorgan,5,2,980
635000,Citadel,4,2.5,1997
919000,Hawkwood,4,4.5,2293
499900,Evanston,3,2,824
599900,Bridlewood,4,3,1235
265000,Haysboro,1,1,705
584999,Falconridge,5,2,1052
279900,Chinatown,1,1,488
230000,Mayland Heights,2,1,851
689000,Belmont,3,2.5,1880
299900,Saddle Ridge,2,2,756
299900,Taradale,2,2,885
1050000,Hillhurst,3,2,1444
1199000,Lakeview,4,3.5,1406
849900,Ranchlands,4,3.5,2118
600000,Walden,3,2.5,1721
1349000,Springbank Hill,6,4.5,3150
864900,Livingston,4,2,2182
1350000,Aspen Woods,4,3.5,1915
839900,Mahogany,4,3.5,2295
719900,Livingston,3,2.5,2039
850000,Evergreen,4,3.5,2396
550000,Marlborough,3,2.5,1492
355000,Downtown East Village,2,2,695
1365999,Upper Mount Royal,4,2,1451
240000,Varsity,2,1,812
649900,Downtown Commercial Core,2,2,1318
625000,Hidden Valley,3,2.5,1437
312900,Skyview Ranch,2,1,899
670000,Silverado,3,2.5,1918
589000,Killarney/Glengarry,3,2.5,1609
874900,Montgomery,4,3.5,1756
1350000,Parkdale,4,3.5,2874
