Price,Place,Beds,Bath,Sq.Ft
589000,Coventry Hills,3,3.5,1417
569000,Crescent Heights,4,2.5,1056
549900,South CA,2,2,630
949900,Saddle Ridge,6,3.5,2376
750000,Altadore,4,2,864
418000,Copperfield Chalet,2,2.5,1576
664950,Tuxedo Park,4,3.5,1930
649900,Arbour Lake,4,3.5,1536
599900,West Springs,2,2.5,1001
925000,Altadore,4,3.5,1837
699000,Tuxedo Park,2,1,1017
549000,Taradale,4,3.5,1398
464990,Rundle,3,2,950
629900,Douglasdale/Glen,3,2.5,2119
500000,Legacy,3,2.5,1506
689900,Saddle Ridge,4,2.5,1668
682500,Downtown East Village,2,2,1073
999900,Killarney/Glengarry,4,3.5,1933
514900,Copperfield,4,3,1167
1295000,Christie Park,5,3,1666
425000,West Springs,2,2,945
649900,Evanston,4,2.5,1947
539900,Landmark Estates,2,2.5,1686
255000,Sunnyside,1,1,424
349000,Falconridge,3,1.5,1022
1799000,Silverado,3,2.5,3488
499900,Glamorgan,4,2,2210
329000,Skyview Ranch,2,2,848
199000,Windsor Park,1,1,615
695000,Auburn Bay,3,2.5,2128
249000,Sunalta,2,1,807
799000,Rosscarrock,3,3.5,1612
1199000,Altadore,4,3.5,2006
649900,Erlton,2,3.5,1309
649900,Bridlewood,4,2.5,2158
550000,Woodbine,4,2,1141
269900,Patterson,2,2,819
425000,Zen In Aspen,2,2.5,1044
445000,Cornerstone,4,2.5,1483
849900,Evanston,4,3.5,2478
699800,Lakeview,2,2,1136
819000,Scenic Acres,3,3.5,1974
245900,Royal Oak,1,1,606
425000,Evanston Square,3,2.5,1136
849900,Westgate,4,3,1360
289900,Bridlewood,2,1,755
524500,Lakeview Green 3,2,2.5,1655
475000,Seton,3,2.5,1121
479900,Bridgeland/Riverside,2,1,873
799900,Silverado,3,2.5,2543
220000,Marlborough Park,2,2,888
699000,Mckenzie Lake,4,2.5,1799
688000,Tuscany,3,2.5,1809
249900,Canyon Creek Heights,2,1,830
450000,Tuxedo Park,3,2,833
744000,Rosedale,3,2,981
289900,Queensland,2,2,893
395000,Mahogany,2,2,938
675000,Tuscany,4,3,1185
219000,Cliff Bungalow,1,1,503
500000,Erin Woods,4,2,914
419000,Rundle,4,2,868
525000,Point Mckay,3,2.5,1419
549900,Monterey Park,4,3.5,1371
729900,Skyview Ranch,3,3.5,2105
499900,Nolan Hill,3,2.5,1551
374900,South CA,2,1.5,1076
550000,Wolf Willow,3,2.5,1313
400000,Oakmoor Village,3,2.5,1235
399900,Beltline,2,2,845
350000,Whitehorn,3,2,1013
299900,Century Manor,3,1.5,980
725000,Somerset,4,2.5,1811
307000,Panorama Hills,2,2,940
640000,Queensland,5,3,1214
835000,West Hillhurst,4,2,845
1399900,Altadore,3,3.5,1880
749900,Windsor Park,7,3.5,1546
209900,Renfrew,2,1,729
249900,Bankview,2,1,773
589900,Midnapore,4,3,1110
439000,Crescent Heights,2,1.5,1493
799900,Springbank Hill,2,2.5,1444
318800,Signal Hill Green,3,1.5,1048
299990,Abbeydale,3,1.5,1062
769000,Scenic Acres,5,3.5,2424
299800,Legacy,2,2,951
299900,Saddle Ridge,2,1,574
899900,Oakridge,4,2.5,1769
585000,Cornerstone,3,2.5,1376
1595000,Aspen Woods,4,3.5,2875
384900,Lower Mount Royal,2,2,1133
610000,Medicine Hill,3,2.5,1595
499999,Collingwood,4,2,792
210000,Sherwood,1,1,694
859900,Arbour Lake,4,2.5,2325
809900,Valley Ridge,4,3.5,2254
729900,Montgomery,3,2.5,1780
399900,Beddington Heights,3,2.5,1333
999900,Parkland,4,3,1314
319900,Bridgeland/Riverside,2,2,879
479000,Sage Hill,3,2.5,1169
325000,Pineridge,3,2.5,1150
829000,Panorama Hills,5,3.5,2120
1049900,Ramsay,3,2,1010
636100,Charleswood,3,2,1249
1150000,Eau Claire,2,2,1724
1250000,Edgemont,6,4,3078
639900,Highwood,3,2,1382
599800,Renfrew,3,2,710
949900,Ramsay,4,2,1075
200000,Varsity,1,1,547
558000,Saddle Ridge,6,2.5,1048
949900,Ramsay,2,1,946
429900,Royal Oak,2,2.5,1328
